parent,body,title,related_links
https://www.slo.courts.ca.gov/gi/index.htm,"<strong>Criminal Branch</strong>
        
            <table>
	<tbody>
		<tr>
			<td>
			<p><strong>Location</strong>:</p>
			</td>
			<td>1050 Monterey Street, Rm 220<br/>
			San Luis Obispo, CA 93408
			<p></p>
			</td>
			<td>
			
			<br/>
			View Larger Map</td>
		</tr>
		<tr>
			<td>
			<p><strong>Office Hours</strong>:</p>
			</td>
			<td>
			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
		<tr>
			<td>
			<p><strong>Telephone</strong>:</p>
			</td>
			<td>
			<p><strong>Phone</strong>: (805) 706-3600</p>

			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
	</tbody>
</table>

<p></p>
        
    
    
    
    
        <strong>Civil &amp; Family Law Branch</strong>
        
            <table>
	<tbody>
		<tr>
			<td>
			<p><strong>Location</strong>:</p>
			</td>
			<td>
			<p>Physical Location:<br/>
			1050 Monterey Street,<br/>
			San Luis Obispo, CA 93408</p>

			<p>Mailing Address:<br/>
			1035 Palm St., Rm. 385,<br/>
			San Luis Obispo, CA 93408</p>

			<p></p>
			</td>
			<td>
			
			<br/>
			View Larger Map</td>
		</tr>
		<tr>
			<td>
			<p><strong>Office Hours</strong>:</p>
			</td>
			<td>
			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
		<tr>
			<td>
			<p><strong>Telephone</strong>:</p>
			</td>
			<td>
			<p><strong>Phone</strong>: (805) 706-3600</p>

			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
	</tbody>
</table>

<p></p>
        
    
    
    
    
        <strong>Grover Beach Branch</strong>
        
            <table>
	<tbody>
		<tr>
			<td>
			<p><strong>Location</strong>:</p>
			</td>
			<td>214 South 16th Street<br/>
			Grover Beach, CA 93433
			<p></p>
			</td>
			<td>
			
			<br/>
			View Larger Map</td>
		</tr>
		<tr>
			<td>
			<p><strong>Office Hours</strong>:</p>
			</td>
			<td>
			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
		<tr>
			<td>
			<p><strong>Telephone:</strong></p>
			</td>
			<td>
			<p>(805) 706-3600</p>

			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
	</tbody>
</table>

<p></p>
        
    
    
    
    
        <strong>Veterans Memorial Branch</strong>
        
            <table>
	<tbody>
		<tr>
			<td>
			<p><strong>Location</strong>:</p>
			</td>
			<td>
			<p>801 Grand Avenue<br/>
			San Luis Obispo, CA 93401</p>

			<p></p>
			</td>
			<td>
			
			<br/>
			View Larger Map</td>
		</tr>
		<tr>
			<td>
			<p><strong>Office Hours</strong>:</p>
			</td>
			<td>
			<p><strong>See other branch locations</strong></p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
		
	</tbody>
</table>

<p></p>
        
    
    
    
    
        <strong>Paso Robles Branch</strong>
        
            <table>
	<tbody>
		<tr>
			<td>
			<p><strong>Location</strong>:</p>
			</td>
			<td>901 Park Street<br/>
			Paso Robles, CA 93446
			<p></p>
			</td>
			<td>
			
			<br/>
			View Larger Map</td>
		</tr>
		<tr>
			<td>
			<p><strong>Office Hours</strong>:</p>
			</td>
			<td>
			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
		<tr>
			<td>
			<p><strong>Telephone</strong>:</p>
			</td>
			<td>
			<p><strong>Phone</strong>: (805) 706-3600<br/>
			<strong>Family Court Services</strong>: (805) 706-3608</p>

			<p><strong>Monday - Friday:</strong><br/>
			8:30 a.m. to 4:00 p.m.</p>

			<p>(Excluding holidays and court closures)</p>
			</td>
		</tr>
	</tbody>
</table>

<p></p>",Location & Contact Info,
https://www.slo.courts.ca.gov/sh/index.htm,"<p>Guardianship is a court proceeding in which a judge gives someone who is not the parent, custody of a child, or the power to manage the child's property (called ""estate""), or both.

<p>You may&nbsp;obtain more information about guardianship, alternatives to guardianship, duties of a guardian, becoming a guardian and ending a guardianship.<br/>
&nbsp;</p>

<strong>Guardianship Video</strong>

<p>We show this helpful video to all people interested in learning more about the court process to obtain a guardianship.&nbsp; Contra Costa County courts provide the videos, but apply equally as well to San Luis Obispo.</p>

<p>The full video is about 30 minutes.&nbsp;Click here to watch the video: Guardianship Video<br/>
&nbsp;</p>

<strong>Instructions and Sample Forms</strong>

<p>You may click on the following link to view instructions and a&nbsp;sample of&nbsp;completed forms:&nbsp;Instructions and Sample Forms</p>

<strong><br/>
Need Filing Help?</strong>

<p>Request Guardianship</p>

<p></p></p>",Guardianship,
https://www.slo.courts.ca.gov/sh/index.htm,"<p>Visit the California Courts website to get an understanding on how to ask for a court order recognizing a change of gender.

<strong>Guides &amp; Forms</strong>

<p>Change Your Name AND Gender (Adult) Guide</p>

<p>Change Your Name AND Gender (Adult) Example</p>

<p>Changing an Adult's Name to Conform to Gender Identity Guide</p>

<p>Changing an Adult's Name to Conform to Gender Identity Example</p></p>",Gender Change,
https://www.slo.courts.ca.gov/sh/index.htm,,Court Conduct,
https://www.slo.courts.ca.gov/sh/index.htm,,Self-Help Resources,https://www.slo.courts.ca.gov/sh/selfhelp-glossary.htm
https://www.slo.courts.ca.gov/sh/index.htm,"Answer

<p></p>",Unlawful Detainer/Evictions,
https://www.slo.courts.ca.gov/sh/index.htm,"<p>For Adults<br/>
&nbsp;</p>

	
	
         

<p>For Minors with<br/>
One Parent Applying </p>

	
	
         

<p>For Minors with<br/>
One Parent Applying </p>",Name Change,https://www.slo.courts.ca.gov/sh/selfhelp-glossary.htm
https://www.slo.courts.ca.gov/sh/index.htm,"<strong>Topics</strong>
            

<p>Custody and Support Petition<br/>
Start, respond and finalize case

<p>Divorce, Legal Separation, Annulment<br/>
Start, respond and finalize case</p>

<p>Domestic Violence Restraining Order<br/>
Obtain orders to prevent abuse</p>

<p>Request for Order<br/>
Request temporary orders or modify orders regarding child custody, visitation, child&nbsp;support, spousal support, attorney fees&nbsp;and other issues</p></p>

	
	
         
 

                <strong>Related Links</strong>
            

<p>Court Reporter Coverage

<p>Custody Mediation &amp; Parenting Class<br/>
Obtain parenting plan agreement</p>

<p>Getting Copies of Civil Court Files</p>

<p>Pre-Trial Order Form</p></p>

	
	

    
        
         
        
        
                        
                            
         
        <p><strong>Our Policies and Procedures</strong>

<p>We provide these forms, information, and instructions so that your interaction with the court will go as smoothly as possible.</p>

<p><strong>Your are required to comply</strong> with the court's usual policies and procedures - it is important that you know them. The Family Law Policy and Procedures Manual will help you.</p>

<p>If you are not sure which forms you need to complete you may obtain further information from the Self-Help Center / Family Law Facilitator or other agencies listed on the Legal Resource List.<br/>
&nbsp;</p>

<strong>Family Law Facilitator</strong>

<p>The Family Law Facilitator / Self-Help Center also offers help in the following types of issues:</p>

<ul>
	<li>Divorce</li>
	<li>Child Support Orders</li>
	<li>Child Custody and Visitation Orders</li>
	<li>Spousal Support Orders</li>
	<li>Response to Department of Child Support Services case</li>
	<li>Response to Request for Order</li>
	<li>Establish a legal parent and child relationship when there is no marriage</li>
	<li>Domestic Violence Restraining Orders</li>
	<li>Civil Harassment Restraining Orders</li>
	<li>Start or Terminate a Guardianship</li>
	<li>Name Change / Gender Change</li>
	<li>Elder Abuse Restraining Order</li>
	<li>Uncontested Step-Parent Adoption (Agreement by All Parents)</li>
</ul>

<p>If you need help to start a family law&nbsp;case such as a divorce or child custody and support case, we recommend that you attend our Start a Family Law Case Workshop before coming to our Walk-In Clinic.</p>

<p>If you already have a divorce, child custody or child support case filed with the court and&nbsp;you need help to get temporary orders or&nbsp;modify existing orders regarding child support, custody or visitation we recommend that you attend our Child Support, Custody and Visitation Workshop before coming to our Walk-in Clinic.</p>

<p>Our office helps people on a first come first serve basis, so please arrive early. If you need to schedule a future&nbsp;appointment, you must come to our workshops or walk-in legal clinic. Due to limited staff resources we do not offer any phone hours.</p>

<strong>Walk-In Legal Clinic Schedule</strong>

<p>View Regular Schedule and Closed Dates<br/>
&nbsp;</p></p>
        
    

    
        
         
        
        
                        <strong>Legal Workshops</strong>
                            
         
        <p>The Family Law Facilitator / Self-Help Center offers the following workshops:

<ul>
	<li>#1 Start a Family Law Case (Divorce, Paternity, Child Custody and Support)</li>
	<li>#2 Child Support, Custody and Visitation Workshop to&nbsp;Establish or Modify Child Support, Custody and/or Visitation Orders</li>
</ul></p>
        
    

    
        
         
        
        
                        
                            
         
        <p><strong>Workshop 1: Start a Family Law Case</strong>

<p>If you do not have any court case filed with the court anywhere then this is the workshop for you to start a case.&nbsp; If you already have a court&nbsp;case filed somewhere, then this is NOT the workshop for you.</p>

<p>We will provide an overview that includes&nbsp;the steps necessary to start or respond to a divorce, paternity or child custody and support&nbsp;case, what forms to complete, where to file the legal documents, how to give the documents to the other party and more.&nbsp; We will also explain legal terms like child support, legal custody and more.&nbsp; If you need assistance to start or respond to a family law divorce case, you&nbsp;should attend this workshop first before coming to our walk-in clinic.</p>

<p>After the overview is completed, we can run child support calculations, review your legal papers and answer&nbsp;general questions.&nbsp; We will gladly give neutral information.&nbsp; The Workshop is a group session so you must arrive on time.&nbsp; You do not need an appointment to attend the workshop, however space is limited so we may need to reschedule you.</p>

<p></p>

<p>No&nbsp;children are allowed.</p>

<p></p>

<p>Please bring your pay stubs for the last 12 months and documents relating to your assets and debts.</p>

<p></p>

<p>If you have substantial assets or debts and/or serious disagreements about child custody or visitation issues you should seek the advice of an attorney before you attempt to proceed on your own.</p>

<p></p>

<p>Public parking is available.</p>

<p><strong>Start a Family Law Case Work Shop Schedule</strong></p>

<p>View Regular Schedule and Closed Dates</p></p>
        
    

    
        
         
        
        
                        
                            
         
        <p><strong>Workshop 2: Child Support, Custody and Visitation to Obtain and Modify&nbsp;Orders</strong>

<p>If you already have a court case filed, then this is the workshop for you to request a hearing to get temporary orders or modify existing orders.</p>

<p>We will provide an overview that includes&nbsp;the steps necessary to establish or modify child support custody and/or visitation orders, what forms to complete, where to file your legal documents, how to give the documents to the other party and more.&nbsp; We will also explain legal terms like child support, legal custody, physical custody and more.&nbsp; Attendance at this Workshop requires that you already have a family law or child support case filed with the court.&nbsp; If you need assistance to request or modify child support, custody and/or visitation orders, you must attend this workshop first before coming to our walk-in clinic.</p>

<p>After the overview is completed, we can run child support calculations, review your legal papers and answer&nbsp;general questions.&nbsp; We will gladly give neutral information.&nbsp; The Workshop is a group session so you must arrive on time.&nbsp; You do not need an appointment to attend the workshop, however space is limited so we may need to reschedule you.</p>

<p>No&nbsp;children are allowed.</p>

<p>Please bring your pay stubs for the last 12 months.<br/>
&nbsp;<br/>
If you have substantial assets or debts and/or serious disagreements about child custody or visitation issues you should seek the advice of an attorney before you attempt to proceed on your own.</p>

<strong>Child Support, Custody, Visitation Workshop Schedule</strong>

<p>View Regular Schedule and Closed Dates<br/>
&nbsp;</p></p>
        
    
 
                                                      
                                                                             
                                               
                                            
                                                
                                                    
                                                                                                                
                                                        
    
        
         
        
        
                        <strong>Contact Information</strong>
                            
         
        <p><strong>Civil &amp; Family Law Branch</strong><br/>
Family Law Division<br/>
Physical Location:<br/>
1050 Monterey Street,<br/>
San Luis Obispo, CA 93408

<p>Mailing Address:<br/>
1035 Palm St., Rm. 385,<br/>
San Luis Obispo, CA 93408<br/>
Monday - Friday:<br/>
8:30 a.m. to 4:00 p.m.</p>

<p><strong>Phone:</strong> (805) 706-3600<br/>
Monday - Friday:<br/>
8:30 a.m. to 4:00 p.m.<br/>
&nbsp;</p>

<p><strong>Paso Robles Branch</strong><br/>
Family Court Services<br/>
901 Park Street<br/>
Paso Robles, CA, 93446<br/>
Monday - Friday:<br/>
8:30 a.m. to 4:00 p.m.</p>

<p><strong>Phone:</strong> (805) 706-3608<br/>
Monday - Friday:<br/>
8:30 a.m. to 4:00 p.m.</p></p>",Family Law,https://www.slo.courts.ca.gov/sh/selfhelp-glossary.htm
https://www.slo.courts.ca.gov/sh/index.htm,"<p>Visit the California Courts website to get an understanding on appointing a responsible person or organization to care for another adult.

<strong>Do It Yourself</strong>

<p>We have a document preparation program available for you to use to complete the necessary forms to request a limited conservatorship. This program will ask you to answer questions that are needed to request a limited conservatorship. The answers you give will be used to complete the forms needed to request a limited conservatorship.&nbsp; This program&nbsp;will also&nbsp;allow you to print out&nbsp;all the completed necessary forms.</p>

<p>Get Started</p></p>",Limited Conservatorship,
https://www.slo.courts.ca.gov/sh/index.htm,"<p>You may obtain additional information at the following websites:

<ul>
	<li>Judicial Council of California - Wills, Estates and Probate Self-Help&nbsp;- This website&nbsp;will give you some general information to help you understand what your choices may be, but you should talk to a lawyer to get specific answers about your situation.</li>
</ul></p>","Wills, Estate, and Probate",
